工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,参数,参数名称,扰动比例,扰动百分比,扰动后参数值,固定Topt_Nm
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,tray_side,托盘边长,0.0,0.0,180.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,148.923076923077,P3,围岩压陷极限,1.5125000000000006,50.461538461538524,1021.2251076923081,True,tray_side,托盘边长,0.1,10.0,198.00000000000003,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,177.23076923076923,P2,锚固系统极限,1.722967220953152,71.18446483231035,1163.330502987239,True,tray_side,托盘边长,0.2,20.0,216.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,98.46153846153848,P3,围岩压陷极限,1.0000000000000002,1.4210854715202004e-14,675.190153846154,True,max_indent_depth,允许压入深度,-0.2,-20.0,1.2000000000000002,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,110.76923076923077,P3,围岩压陷极限,1.125,12.307692307692307,759.5889230769232,True,max_indent_depth,允许压入深度,-0.1,-10.0,1.35,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,max_indent_depth,允许压入深度,0.0,0.0,1.5,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,135.38461538461542,P3,围岩压陷极限,1.3750000000000002,36.92307692307695,928.3864615384617,True,max_indent_depth,允许压入深度,0.1,10.0,1.6500000000000001,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,147.69230769230768,P3,围岩压陷极限,1.4999999999999998,49.23076923076921,1012.7852307692307,True,max_indent_depth,允许压入深度,0.2,20.0,1.7999999999999998,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,153.84615384615384,P3,围岩压陷极限,1.5624999999999998,55.38461538461537,1054.9846153846154,True,influence_depth,载荷影响深度,-0.2,-20.0,720.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,136.75213675213672,P3,围岩压陷极限,1.3888888888888884,38.290598290598254,937.7641025641024,True,influence_depth,载荷影响深度,-0.1,-10.0,810.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,influence_depth,载荷影响深度,0.0,0.0,900.0,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,111.88811188811187,P3,围岩压陷极限,1.136363636363636,13.426573426573398,767.2615384615383,True,influence_depth,载荷影响深度,0.1,10.0,990.0000000000001,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,102.56410256410255,P3,围岩压陷极限,1.0416666666666665,4.102564102564088,703.3230769230769,True,influence_depth,载荷影响深度,0.2,20.0,1080.0,675.1901538461539
工况 B：煤层锚杆,123.07692307692308,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.0,0.0,675.1901538461539,True,torque_conversion,力矩转换系数 Kd,-0.2,-20.0,5.48592,675.1901538461539
工况 B：煤层锚杆,109.4017094017094,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.125,13.675213675213683,759.5889230769232,True,torque_conversion,力矩转换系数 Kd,-0.1,-10.0,6.17166,675.1901538461539
工况 B：煤层锚杆,98.46153846153847,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.25,24.615384615384613,843.9876923076923,True,torque_conversion,力矩转换系数 Kd,0.0,0.0,6.8574,675.1901538461539
工况 B：煤层锚杆,89.5104895104895,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.375,33.566433566433574,928.3864615384617,True,torque_conversion,力矩转换系数 Kd,0.1,10.0,7.543140000000001,675.1901538461539
工况 B：煤层锚杆,82.05128205128206,205.0,169.64600329384882,123.07692307692308,P3,围岩压陷极限,1.5,41.02564102564102,1012.7852307692308,True,torque_conversion,力矩转换系数 Kd,0.2,20.0,8.22888,675.1901538461539
