工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,扰动幅度,扰动幅度百分比,样本编号,固定Topt_Nm,扰动_yield_load,扰动_hole_diameter,扰动_bond_length,扰动_elastic_modulus,扰动_poisson_ratio,扰动_tray_side,扰动_max_indent_depth,扰动_influence_depth,扰动_torque_conversion
工况 A：岩层锚杆,150.44969667915112,154.77536128942197,291.58702296604105,338.3073700327046,P1,锚杆屈服,1.0287515675056211,4.325664610270849,597.696430708226,True,0.1,10.0,4514,580.9920000000001,-0.08955669829751785,-0.05360693052520038,-0.06674640704189166,-0.01563641618911478,0.02812699051171555,-0.0691615407750317,-0.039236961817189345,-0.02742350646417069,-0.09604337528155016
工况 A：岩层锚杆,149.20346796191845,153.67955568535578,295.0000552272157,453.0196913806584,P1,锚杆屈服,1.0299998906498593,4.476087723437331,598.4216964684431,True,0.1,10.0,4259,580.9920000000001,-0.09600261361555414,-0.07926174771103563,-0.06797757233155216,0.035991267600597204,-0.08320964759134186,0.059974971295228774,-0.055857265335992695,-0.03986037162046925,-0.08849303667183117
工况 A：岩层锚杆,150.62786441468305,155.1778081567955,378.33379342147686,489.06027926177666,P1,锚杆屈服,1.03020652095011,4.549943742112447,598.5417470198464,True,0.1,10.0,4273,580.9920000000001,-0.08718936378355586,0.05418467410839914,0.02255645379582752,0.06330375987192058,0.004630637980318125,0.05852016266952556,0.04958737002880789,0.02338880209322805,-0.09711260576869155
工况 A：岩层锚杆,150.80465733176086,155.40643427643715,327.6642871048187,324.22971638875936,P1,锚杆屈服,1.0305148198079366,4.601776944676288,598.7208661898527,True,0.1,10.0,2323,580.9920000000001,-0.08584450425625212,0.05437223532903718,-0.02131489356043273,-0.06339688560303433,-0.017400572562497052,0.0069974831507006174,-0.07561753546603306,0.08062138529410887,-0.09817108830526061
工况 A：岩层锚杆,148.91185686245768,153.53985201370455,307.62464471880065,400.71662671522154,P1,锚杆屈服,1.031078755236539,4.627995151246864,599.0485081623874,True,0.1,10.0,2123,580.9920000000001,-0.09682439991938492,-0.027332045030506597,-0.03547885462493064,-0.024111712923658213,0.04057879248065871,0.0406775268577822,-0.026759708030339807,0.03247426709853249,-0.08670805088666429
工况 A：岩层锚杆,150.96486554522195,155.73946027855746,374.1663089159482,396.4601577393718,P1,锚杆屈服,1.0316271916388735,4.774594733335505,599.3671453246524,True,0.1,10.0,1926,580.9920000000001,-0.08388552777319147,0.05200972879851892,0.08061052591757809,-0.019436601303388756,-0.025250715698986334,0.031192027025748775,0.03001435966586019,0.07998365094735008,-0.09912813482246426
工况 A：岩层锚杆,148.68026713003238,153.57142953805754,279.8069222779187,500.082108399055,P1,锚杆屈服,1.0328971860384637,4.891162408025167,600.1050019108593,True,0.1,10.0,521,580.9920000000001,-0.096638649776132,-0.08926779883617404,-0.08792133807883849,0.009790681693737396,-0.032998379193453165,0.09241648687184587,0.07199754383430712,0.028833494029297163,-0.08528547449368307
工况 A：岩层锚杆,148.61323497909015,153.57840457610766,316.48753873532166,447.31460605291124,P1,锚杆屈服,1.0334100095305516,4.965169597017507,600.4029482571743,True,0.1,10.0,2049,580.9920000000001,-0.09659762014054321,0.09673513476176665,-0.09247441610820378,-0.06172278023398639,0.09141343195911683,0.005257266015255363,0.09961095607310044,-0.05562934116183271,-0.08487289157567171
工况 A：岩层锚杆,148.92306666857056,153.96039482829087,341.6321074044272,349.4808263650032,P1,锚杆屈服,1.033825036459469,5.0373281597203174,600.6440755826599,True,0.1,10.0,42,580.9920000000001,-0.09435061865711261,0.03922502537783365,0.06343172954857632,-0.0952529349467181,0.06968448274833985,-0.020036938733504622,0.04901062607082038,0.05331692348209269,-0.0867767966216472
工况 A：岩层锚杆,150.0663863144114,155.30484729790783,282.6185238677961,399.9262806180644,P1,锚杆屈服,1.0349076239666428,5.238460983496424,601.2730502636279,True,0.1,10.0,1522,580.9920000000001,-0.08644207471818935,-0.0885720387038935,-0.027369282999925804,-0.058571530280888,0.060166574264454126,0.046225190748682005,0.05331963984853691,0.09466598723773248,-0.0937344242096976
工况 A：岩层锚杆,148.98555230899973,154.2491966264625,278.3071535620147,342.0439352686,P1,锚杆屈服,1.0353298976705194,5.263644317462763,601.5183879073904,True,0.1,10.0,3091,580.9920000000001,-0.0926517845502206,-0.06914638812365387,-0.04032476003873023,-0.0861026753335491,0.05700433061718718,-0.07973588407921517,0.07056348345506488,-0.023389892693256947,-0.08715980917443167
工况 A：岩层锚杆,148.5762446469524,153.8526604199164,309.07969494876596,442.2744058536687,P1,锚杆屈服,1.035513185741784,5.276415772963986,601.6248768104907,True,0.1,10.0,2157,580.9920000000001,-0.09498435047107999,-0.09904239516933913,0.07907293870517748,-0.06194655808187508,-0.019454726523621207,0.008044456373672418,0.06441416974753392,-0.08472494103273179,-0.08464505666323802
工况 A：岩层锚杆,149.30077889609538,154.66441569894693,325.09513143004534,406.39528464833677,P1,锚杆屈服,1.035925042337417,5.363636802851545,601.8641621977007,True,0.1,10.0,4540,580.9920000000001,-0.09020931941795927,0.011796681326851674,-0.013947157876158675,-0.03189155535481532,-0.04511164749804837,0.0643273808549478,-0.053728950027844016,0.015442949473885872,-0.08908713668099429
工况 A：岩层锚杆,150.73361819721356,156.17126333382149,365.5417933163352,440.06420874243094,P1,锚杆屈服,1.0360745346767537,5.437645136607927,601.9510160509166,True,0.1,10.0,4936,580.9920000000001,-0.08134550980105015,-0.018935701951808853,0.03588516846788034,0.09634255077487294,0.03725723407431522,0.08045339775593449,-0.06617346789467746,0.09187188933958845,-0.09774606602978697
工况 A：岩层锚杆,150.84151109325677,156.29563318002937,294.2761578504795,382.9244394304512,P1,锚杆屈服,1.0361579650538015,5.4541220867726,601.9994884325383,True,0.1,10.0,1070,580.9920000000001,-0.08061392247041542,-0.022038208871811696,-0.09451941883289983,-0.007379173272125561,0.07075972288002005,-0.011231509172879559,-0.0003641269758675181,0.023350929869357023,-0.098391424122509
工况 A：岩层锚杆,150.9065786831362,156.36455925677168,345.23491938504657,467.71461308993736,P1,锚杆屈服,1.0361679432484903,5.457980573635496,602.0052856838269,True,0.1,10.0,3681,580.9920000000001,-0.08020847496016659,-0.07757867406619029,0.048333125330667026,0.08620597379666609,0.07991494794930568,0.02869158641093361,-0.0751153725341206,-0.08063388538132162,-0.09878017786378981
